"Identifiers","elem","nr"
1,"gmina miejska","1"
1,"","2"
1,"Stadtgemeinde","3"
2,"gmina miejska","1"
3,"gmina wiejska ","1"
4,"obszar dworski","1"
5,"powiat","1"
6,"miasto na prawach powiatu","1"
7,"miasto Warszawa","1"
8,"województwo","1"
9,"gmina","1"
10,"powiat","1"
11,"województwo","1"
12,"państwo","1"
12,"republika","1"
13,"gmina wiejska","1"
13,"","2"
13,"Landgemeinde","3"
14,"obszar dworski","1"
14,"","2"
14,"Gutsbezirk","3"
24,"gmina","1"
24,"","2"
24,"Gemeinde","3"
25,"wójtostwo","1"
25,"","2"
25,"Amtsbezirk","3"
26,"powiat","1"
26,"","2"
26,"Kreis","3"
27,"powiat ziemski","1"
27,"","2"
27,"Landkreis","3"
28,"powiat miejski","1"
28,"","2"
28,"Stadtkreis","3"
29,"regencja","1"
29,"okręg rejencyjny","1"
29,"rejencja","1"
29,"","2"
29,"","2"
29,"","2"
29,"","3"
29,"","3"
29,"Regierung","3"
30,"prowincja","1"
30,"","2"
30,"Provinz","3"
31,"państwo","1"
31,"","2"
31,"Staat","3"
32,"wolne miasto","1"
32,"","2"
32,"Freie Stadt","3"
33,"państwo","1"
33,"","2"
33,"Staat","3"
34,"gmina miejska","1"
34,"","2"
34,"Stadtgemeinde","3"
35,"gmina wiejska","1"
35,"","2"
35,"Landgemeinde","3"
36,"obszar dworski","1"
36,"","2"
36,"Gutsbezirk","3"
37,"gmina","1"
37,"","2"
37,"Gemeinde","3"
38,"wójtostwo","1"
38,"","2"
38,"Amtsbezirk","3"
39,"powiat","1"
39,"","2"
39,"Kreis","3"
40,"powiat ziemski","1"
40,"","2"
40,"Landkreis","3"
41,"powiat miejski","1"
41,"","2"
41,"Stadtkreis","3"
42,"rejencja","1"
42,"okręg rejencyjny","1"
42,"regencja","1"
42,"","2"
42,"","2"
42,"","2"
42,"","3"
42,"","3"
42,"Regierung","3"
43,"prowincja","1"
43,"","2"
43,"Provinz","3"
44,"królestwo","1"
44,"państwo","1"
44,"","2"
44,"","2"
44,"Staat","3"
44,"Königreich","3"
49,"gmina","1"
49,"волость","2"
50,"","1"
50,"powiat","1"
50,"уезд","2"
50,"округ","2"
51,"obwód","1"
51,"область","2"
52,"gubernia","1"
52,"губерния","2"
53,"gubernia","1"
53,"губерния","2"
54,"obwód","1"
54,"область","2"
55,"namiestnictwo","1"
55,"наместничество","2"
56,"generalne gubernatorstwo","1"
56,"генерал-губернаторство","2"
57,"cesarstwo","1"
57,"państwo","1"
57,"государство","2"
57,"империя","2"
58,"księstwo","1"
58,"kraj koronny","1"
59,"gmina","1"
60,"gmina wiejska","1"
61,"gmina miejska","1"
62,"obszar dworski","1"
63,"powiat","1"
63,"","2"
63,"Bezirk","3"
64,"namiestnictwo","1"
64,"kraj koronny","1"
65,"gmina","1"
66,"gmina miejska","1"
67,"gmina wiejska","1"
68,"okręg","1"
69,"powiat","1"
70,"gubernia","1"
71,"kraj","1"
71,"generał-gubernatorstwo","1"
71,"królestwo","1"
72,"cesarstwo","1"
73,"państwo","1"
73,"królestwo","1"
74,"powiat","1"
75,"powiat ziemski","1"
75,"","2"
75,"Landkreis","3"
76,"miejski okręg inspekcji podatkowej","1"
77,"departament kamery wojenno-skarbowej","1"
78,"prowincja","1"
79,"królestwo","1"
79,"państwo","1"
80,"powiat","1"
81,"ziemia","1"
82,"województwo","1"
83,"prowincja","1"
84,"dzielnica","1"
85,"królestwo","1"
85,"państwo","1"
86,"margrabstwo","1"
86,"hrabstwo","1"
86,"","2"
86,"","2"
86,"Markgrafschaft","3"
86,"","3"
87,"księstwo","1"
87,"elektorat","1"
87,"","2"
87,"","2"
87,"Kurfürstentum","3"
87,"","3"
88,"gubernium","1"
89,"dominium-magistrat","1"
90,"dominium","1"
91,"magistrat","1"
92,"okręg","1"
92,"","1"
92,"","1"
92,"","2"
92,"","2"
92,"","2"
92,"Kreisdistrikt","3"
92,"Bezirk","3"
92,"Distrikt","3"
93,"cyrkuł","1"
93,"","1"
93,"","2"
93,"","2"
93,"Direktoriat","3"
93,"Kreis","3"
94,"gubernium","1"
94,"","2"
94,"Gubernium","3"
95,"królestwo","1"
96,"","1"
96,"powiat","1"
96,"","2"
96,"","2"
96,"","3"
96,"","3"
96,"","4"
96,"","4"
96,"","5"
96,"","5"
96,"","6"
96,"","6"
96,"processus","7"
96,"reambulatio","7"
96,"","8"
96,"","8"
96,"","9"
96,"szolgabírói járás","9"
97,"komitat","1"
97,"","2"
97,"","3"
97,"","4"
97,"","5"
97,"","6"
97,"","7"
97,"","8"
97,"megye","9"
98,"królestwo","1"
98,"państwo","1"
98,"kraj koronny","1"
99,"państwo złożone","1"
99,"cesarstwo","1"
99,"monarchia złożona","1"
99,"","2"
99,"","2"
99,"","2"
99,"","3"
99,"","3"
99,"Kaisertum","3"
99,"","4"
99,"","4"
99,"","4"
99,"","5"
99,"","5"
99,"","5"
99,"","6"
99,"","6"
99,"","6"
99,"","7"
99,"","7"
99,"","7"
99,"","8"
99,"","8"
99,"","8"
99,"","9"
99,"","9"
99,"","9"
99,"composite monarchy","10"
99,"composite state","10"
99,"","10"
100,"monarchia","1"
100,"cesarstwo","1"
100,"państwo związkowe","1"
101,"monarchia","1"
101,"cesarstwo","1"
101,"państwo złożone","1"
101,"","2"
101,"","2"
101,"","2"
101,"Kaiserreich","3"
101,"","3"
101,"","3"
102,"cesarstwo","1"
103,"część (człon) państwa związkowego","1"
104,"część (człon) państwa związkowego","1"
105,"państwo związkowe","1"
105,"cesarstwo","1"
105,"monarchia","1"
106,"część (człon) państwa związkowego","1"
107,"państwo związkowe","1"
107,"cesarstwo","1"
107,"monarchia","1"
108,"cesarstwo","1"
109,"państwo złożone","1"
109,"cesarstwo","1"
109,"monarchia złożona","1"
109,"","2"
109,"","2"
109,"","2"
109,"","3"
109,"","3"
109,"","3"
109,"","4"
109,"","4"
109,"","4"
109,"","5"
109,"","5"
109,"","5"
109,"","6"
109,"","6"
109,"","6"
109,"","7"
109,"","7"
109,"","7"
109,"","8"
109,"","8"
109,"","8"
109,"","9"
109,"","9"
109,"","9"
109,"composite state","10"
109,"composite monarchy","10"
109,"","10"
110,"cesarstwo","1"
110,"państwo złożone","1"
111,"powiat","1"
111,"ziemia","1"
111,"księstwo","1"
111,"dystrykt","1"
111,"hrabstwo","1"
111,"okręg","1"
111,"","2"
111,"","2"
111,"","2"
111,"","2"
111,"","2"
111,"","2"
111,"Weichbild","3"
111,"Kreis","3"
111,"","3"
111,"","3"
111,"Circul","3"
111,"","3"
111,"","4"
111,"","4"
111,"","4"
111,"","4"
111,"","4"
111,"","4"
111,"","5"
111,"","5"
111,"","5"
111,"","5"
111,"","5"
111,"","5"
111,"","6"
111,"","6"
111,"","6"
111,"","6"
111,"","6"
111,"","6"
111,"terra","7"
111,"","7"
111,"","7"
111,"","7"
111,"","7"
111,"","7"
112,"księstwo","1"
112,"wolne państwo stanowe","1"
113,"państwo","1"
113,"królestwo","1"
114,"cesarstwo","1"
114,"państwo złożone","1"
115,"miasto-ziemia","1"
116,"miasto polokacyjne","1"
117,"ziemia","1"
117,"","2"
117,"Land","3"
118,"landwójtostwo","1"
119,"księstwo","1"
120,"cesarstwo","1"
121,"","1"
121,"powiat ziemski","1"
121,"okręg","1"
121,"urząd dominialny","1"
121,"","2"
121,"","2"
121,"","2"
121,"","2"
121,"Domänenamt","3"
121,"","3"
121,"Amt","3"
121,"Kreis","3"
122,"landwójtostwo","1"
123,"prowincja","1"
124,"marchia","1"
124,"elektorat","1"
124,"księstwo","1"
125,"cesarstwo","1"
125,"państwo złożone","1"
126,"księstwo","1"
127,"wójtostwo","1"
127,"","2"
127,"Vogtei","3"
128,"landwójtostwo","1"
128,"","2"
128,"Landvogtei","3"
129,"prowincja","1"
129,"starostwo generalne","1"
130,"elektorat","1"
130,"marchia","1"
130,"księstwo","1"
131,"państwo złożone","1"
131,"cesarstwo","1"
132,"dzielnica","1"
133,"marchia","1"
133,"księstwo","1"
134,"wielkie księstwo","1"
134,"królestwo","1"
134,"księstwo samodzielne ","1"
135,"państwo złożone","1"
136,"wójtostwo","1"
137,"wójtostwo","1"
138,"prokuratorstwo","1"
139,"komturstwo","1"
140,"komturstwo","1"
141,"władztwo biskupa i kapituły","1"
142,"państwo zakonne","1"
143,"państwo kościelne","1"
